"EventDate","alias_name","price","commented","market_time","screen_size","ram_size","rom_size","battery_capacity","cost_efficient","performance","endurance","appearance","camera_performance"
2020-11-27, iPhone X2 Plus,"0","4","2018年09月13日","","","","","0","0","0","0","0"
2020-11-28,"10 Pro","4999","28","2020年2月18日","6.67","8GB","256GB","4500mAh","8","9","8","7","8"
2020-11-28,"11 pro max","9599","52","2019年09月","6.5","4GB","64GB","3969mAh大电池手机","5","10","6","6","7"
2020-11-28,"1107","380","1","2010年","1.52","","","800mAh","0","0","0","0","0"
2020-11-28,"11Pro","0","0","","6.67","","","4500mAh","0","0","0","0","0"
2020-11-28,"129°广角","4699","6","2020年05月","6.6","8GB","256GB","4500mAh","8","10","8","7","6"
2020-11-28,"15","1998","107","2018年>","5.46","4GB","64GB/128GB","3000mAh（30分钟充电49%）","5","5","5","6","6"
2020-11-28,"15 Lite","1198","11","2018年06月15日","6","4GB","64GB","3500mAh大电池手机","4","4","6","7","7"
2020-11-28,"15 Plus","16999","17","2020年9月","7.6","12GB","512GB","4500mAh","8","10","8","8","9"
2020-11-28,"1501-A02","299","228","2016年06月>","5","2GB","16GB","2500mAh","8","4","6","8","7"
2020-11-28,"1501-M02","299","228","2016年06月>","5","2GB","16GB","2500mAh","8","4","6","8","7"
2020-11-28,"1503-A01","759","318","2016年05月>","5.5","4GB","32GB","3080mAh","9","8","8","7","8"
2020-11-28,"1503-M02","759","318","2016年05月>","5.5","4GB","32GB","3080mAh","9","8","8","7","8"
2020-11-28,"1505-A01","1200","500","2016年11月>","5.5","4GB","64GB","5000mAh","8","4","9","7","7"
2020-11-28,"1505-A02","1200","500","2016年11月>","5.5","4GB","64GB","5000mAh","8","4","9","7","7"
2020-11-28,"1509-A00","2100","98","2016年08月30日","6","6GB","128GB","3700mAh大电池手机","8","9","8","8","9"
2020-11-28,"1509-M02","2100","98","2016年08月30日","6","6GB","128GB","3700mAh大电池手机","8","9","8","8","9"
2020-11-28,"1515-A01","1750","50","2016年08月>","5.5","4GB","128GB","3200mAh","7","5","6","6","6"
2020-11-28,"16","6999","15","2020年08月16日","6.67","16GB","512GB","4500mAh","9","10","9","8","8"
2020-11-28,"16 X","1199","45","2018年09月19日","6","6GB","64GB/128GB","3100mAh","9","9","8","9","9"
2020-11-28,"1603-A02","599","5","2016年09月>","5.5","3GB","32GB","4000mAh","6","6","6","6","6"
2020-11-28,"1603-A03","499","76","2016年10月18日","5.5","3GB","32GB","4000mAh","6","6","6","7","6"
2020-11-28,"1605-A01","699","138","2017年05月>","5.5","6GB","64GB/128GB/32GB","3730mAh大电池手机","6","4","6","6","6"
2020-11-28,"1605-A02","699","138","2017年05月>","5.5","6GB","64GB/128GB/32GB","3730mAh大电池手机","6","4","6","6","6"
2020-11-28,"1607-A01","699","138","2017年05月>","5.5","6GB","64GB/128GB/32GB","3730mAh大电池手机","6","4","6","6","6"
2020-11-28,"16S","3688","93","2019年04月28日","6.2","8GB","128GB","3600mAh（30分钟充电52%）大电池手机","8","9","8","9","9"
2020-11-28,"16T","2499","36","2019年10月28日","6.5","8GB","256GB","4500mAh","9","10","9","8","8"
2020-11-28,"16s","3688","93","2019年04月28日","6.2","8GB","128GB","3600mAh（30分钟充电52%）大电池手机","8","9","8","9","9"
2020-11-28,"16s Pro","2998","34","2019年08月>","6.2","6GB","128GB","3600mAh大电池手机","9","10","8","9","9"
2020-11-28,"16th","1598","348","2018年08月","6","6GB","64GB/128GB","3010mAh（30分钟充电无%）","10","9","8","9","9"
2020-11-28,"16th Plus","1798","52","2018年08月","6.5","6GB","128GB","3640mAh大电池手机","9","9","8","9","8"
2020-11-28,"1701-M01","459","15","2017年03月>","5","2GB","16GB","2000mAh","5","5","6","6","5"
2020-11-28,"1703-M01","288","3","2017年05月>","5","2GB","16GB","2000mAh","4","2","4","2","4"
2020-11-28,"1707-A01","999","38","2017年12月14日","5.93","6GB","64GB","5030mAh（30分钟充电40%）","7","5","8","8","7"
2020-11-28,"1711-A01","799","21","2017年09月06日","5.5","4GB","32GB","4020mAh","5","3","5","5","4"
2020-11-28,"1713-A01","599","31","2017年12月14日","5.5","4GB","32GB","4020mAh","7","3","8","8","7"
2020-11-28,"1801-A01","1099","81","2017年11月","5.99","6GB","64GB/128GB","4050mAh","8","7","9","8","8"
2020-11-28,"1803-A01","1599","20","2018年08月","5.99","6GB","128GB","4050mAh","6","5","6","5","5"
2020-11-28,"1807-A01","1599","263","2018年08月","5.99","6GB","64GB/128GB","4000mAh（30分钟充电43%）","7","7","8","7","7"
2020-11-28,"1809-A01","1599","263","2018年08月","5.99","6GB","64GB/128GB","4000mAh（30分钟充电43%）","7","7","8","7","7"
2020-11-28,"1831-A0","599","21","2018年09月04日","5.85","4GB","64GB","2800mAh","7","7","6","9","3"
2020-11-28,"1832-A0","499","22","2019年01月>","6","3GB","32GB","3200mAh","0","0","0","0","0"
2020-11-28,"1872-A0","799","3","2018年07月","5.85","4GB","64GB","2800mAh","4","4","7","7","5"
2020-11-28,"2012051","1099","424","2012年","4","1GB","4GB","1930mAh","6","6","5","6","6"
2020-11-28,"2012052","1099","424","2012年","4","1GB","4GB","1930mAh","6","6","5","6","6"
2020-11-28,"2012053","1099","424","2012年","4","1GB","4GB","1930mAh","6","6","5","6","6"
2020-11-28,"2012061","1126","1","2018年>","5.99","4GB","64GB","3010mAh","0","0","0","0","0"
2020-11-28,"2012062","1126","1","2018年>","5.99","4GB","64GB","3010mAh","0","0","0","0","0"
2020-11-28,"2012121","3799","25","2020年>","6.67","8GB","128GB","4780mAh","9","9","8","7","8"
2020-11-28,"2013012","1599","180","2018年03月","5.99","8GB","256GB","3400mAh大电池手机","6","6","5","6","6"
2020-11-28,"2013021","1599","180","2018年03月","5.99","8GB","256GB","3400mAh大电池手机","6","6","5","6","6"
2020-11-28,"2013022","2599","17","2020年11月1日","6.67","8GB","128GB","5000mAh","9","9","8","8","8"
2020-11-28,"2013023","2599","17","2020年11月1日","6.67","8GB","128GB","5000mAh","9","9","8","8","8"
2020-11-28,"2013028","599","892","2014年11月","4.7","1GB","8GB","2200mAh","6","5","4","5","5"
2020-11-28,"2013029","599","892","2014年11月","4.7","1GB","8GB","2200mAh","6","5","4","5","5"
2020-11-28,"2013061","0","0","2019年>","6.088","4GB","128GB","4030mAh","0","0","0","0","0"
2020-11-28,"2013062","0","0","2019年>","6.088","4GB","128GB","4030mAh","0","0","0","0","0"
2020-11-28,"2013063","0","0","2019年>","6.088","4GB","128GB","4030mAh","0","0","0","0","0"
2020-11-28,"2013121","1599","1","","6.67","6GB","128GB","4820mAh","6","6","8","6","8"
2020-11-28,"2013122","1599","1","","6.67","6GB","128GB","4820mAh","6","6","8","6","8"
2020-11-28,"2014011","599","892","2014年11月","4.7","1GB","8GB","2200mAh","6","5","4","5","5"
2020-11-28,"2014017","1599","1","","6.67","6GB","128GB","4820mAh","6","6","8","6","8"
2020-11-28,"2014018","1599","1","","6.67","6GB","128GB","4820mAh","6","6","8","6","8"
2020-11-28,"2014021","1599","1","","6.67","6GB","128GB","4820mAh","6","6","8","6","8"
2020-11-28,"2014022","1599","1","","6.67","6GB","128GB","4820mAh","6","6","8","6","8"
2020-11-28,"2014055","2599","17","2020年11月1日","6.67","8GB","128GB","5000mAh","9","9","8","8","8"
2020-11-28,"2014112","498","8","2018年6月15","5.45","2GB","16GB","3000mAh","7","5","6","7","5"
2020-11-28,"2014215","799","93","2017年03月03日","5.15","3GB","64GB","2860mAh","5","6","5","7","6"
2020-11-28,"2014216","799","93","2017年03月03日","5.15","3GB","64GB","2860mAh","5","6","5","7","6"
2020-11-28,"2014218","799","93","2017年03月03日","5.15","3GB","64GB","2860mAh","5","6","5","7","6"
2020-11-28,"2014501","599","892","2014年11月","4.7","1GB","8GB","2200mAh","6","5","4","5","5"
2020-11-28,"2014502","2599","17","2020年11月1日","6.67","8GB","128GB","5000mAh","9","9","8","8","8"
2020-11-28,"2014512","2599","17","2020年11月1日","6.67","8GB","128GB","5000mAh","9","9","8","8","8"
2020-11-28,"2014616","999","124","2019年01月15日","6.3","3GB","32GB","4000mAh","7","6","7","7","7"
2020-11-28,"2014617","999","124","2019年01月15日","6.3","3GB","32GB","4000mAh","7","6","7","7","7"
2020-11-28,"2014618","999","124","2019年01月15日","6.3","3GB","32GB","4000mAh","7","6","7","7","7"
2020-11-28,"2014619","999","124","2019年01月15日","6.3","3GB","32GB","4000mAh","7","6","7","7","7"
2020-11-28,"2014712","1599","1","","6.67","6GB","128GB","4820mAh","6","6","8","6","8"
2020-11-28,"2014715","1599","1","","6.67","6GB","128GB","4820mAh","6","6","8","6","8"
2020-11-28,"2014716","799","93","2017年03月03日","5.15","3GB","64GB","2860mAh","5","6","5","7","6"
2020-11-28,"2014719","799","93","2017年03月03日","5.15","3GB","64GB","2860mAh","5","6","5","7","6"
2020-11-28,"2014726","799","93","2017年03月03日","5.15","3GB","64GB","2860mAh","5","6","5","7","6"
2020-11-28,"2014811","498","8","2018年6月15","5.45","2GB","16GB","3000mAh","7","5","6","7","5"
2020-11-28,"2014812","498","8","2018年6月15","5.45","2GB","16GB","3000mAh","7","5","6","7","5"
2020-11-28,"2014813","498","8","2018年6月15","5.45","2GB","16GB","3000mAh","7","5","6","7","5"
2020-11-28,"2014816","2599","17","2020年11月1日","6.67","8GB","128GB","5000mAh","9","9","8","8","8"
2020-11-28,"2014817","498","8","2018年6月15","5.45","2GB","16GB","3000mAh","7","5","6","7","5"
2020-11-28,"2014818","498","8","2018年6月15","5.45","2GB","16GB","3000mAh","7","5","6","7","5"
2020-11-28,"2014819","498","8","2018年6月15","5.45","2GB","16GB","3000mAh","7","5","6","7","5"
2020-11-28,"2014821","498","8","2018年6月15","5.45","2GB","16GB","3000mAh","7","5","6","7","5"
2020-11-28,"2014910","999","2903","2014年05月","5.5","2GB","8GB","3100mAh","5","5","5","5","5"
2020-11-28,"2014911","999","2903","2014年05月","5.5","2GB","8GB","3100mAh","5","5","5","5","5"
2020-11-28,"2014912","999","2903","2014年05月","5.5","2GB","8GB","3100mAh","5","5","5","5","5"
2020-11-28,"2014915","999","2903","2014年05月","5.5","2GB","8GB","3100mAh","5","5","5","5","5"
2020-11-28,"2014916","999","2903","2014年05月","5.5","2GB","8GB","3100mAh","5","5","5","5","5"
2020-11-28,"2015011","999","124","2019年01月15日","6.3","3GB","32GB","4000mAh","7","6","7","7","7"
2020-11-28,"2015015","799","548","2015年09月>","5","2GB","16GB","3080mAh","5","6","5","6","6"
2020-11-28,"2015021","2499","1241","2015年05月>","5.7","4GB","64GB","3010mAh","5","4","5","6","6"
