alias_name,price,commented,screen_size,cost_efficient,performance,endurance,appearance,camera_performance,days,ba_cap,ram,rom
 iPhone X2 Plus,0,4,,0,0,0,0,0,809,0,0,0
10 Pro,4999,28,6.67,8,9,8,7,8,286,4500,8,256
11 pro max,9599,52,6.5,5,10,6,6,7,456,3969,4,64
1107,380,1,1.52,0,0,0,0,0,3986,800,0,0
11Pro,0,0,6.67,0,0,0,0,0,0,4500,0,0
129°广角,4699,6,6.6,8,10,8,7,6,213,4500,8,256
15,1998,107,5.46,5,5,5,6,6,1064,3000,4,64
15 Lite,1198,11,6.0,4,4,6,7,7,899,3500,4,64
15 Plus,16999,17,7.6,8,10,8,8,9,90,4500,12,512
1501-A02,299,228,5.0,8,4,6,8,7,1643,2500,2,16
1501-M02,299,228,5.0,8,4,6,8,7,1643,2500,2,16
1503-A01,759,318,5.5,9,8,8,7,8,1674,3080,4,32
1503-M02,759,318,5.5,9,8,8,7,8,1674,3080,4,32
1505-A01,1200,500,5.5,8,4,9,7,7,1490,5000,4,64
1505-A02,1200,500,5.5,8,4,9,7,7,1490,5000,4,64
1509-A00,2100,98,6.0,8,9,8,8,9,1553,3700,6,128
1509-M02,2100,98,6.0,8,9,8,8,9,1553,3700,6,128
1515-A01,1750,50,5.5,7,5,6,6,6,1582,3200,4,128
16,6999,15,6.67,9,10,9,8,8,106,4500,16,512
16 X,1199,45,6.0,9,9,8,9,9,803,3100,6,64
1603-A02,599,5,5.5,6,6,6,6,6,1551,4000,3,32
1603-A03,499,76,5.5,6,6,6,7,6,1504,4000,3,32
1605-A01,699,138,5.5,6,4,6,6,6,1309,3730,6,64
1605-A02,699,138,5.5,6,4,6,6,6,1309,3730,6,64
1607-A01,699,138,5.5,6,4,6,6,6,1309,3730,6,64
16S,3688,93,6.2,8,9,8,9,9,582,3600,8,128
16T,2499,36,6.5,9,10,9,8,8,399,4500,8,256
16s,3688,93,6.2,8,9,8,9,9,582,3600,8,128
16s Pro,2998,34,6.2,9,10,8,9,9,487,3600,6,128
16th,1598,348,6.0,10,9,8,9,9,852,3010,6,64
16th Plus,1798,52,6.5,9,9,8,9,8,852,3640,6,128
1701-M01,459,15,5.0,5,5,6,6,5,1370,2000,2,16
1703-M01,288,3,5.0,4,2,4,2,4,1309,2000,2,16
1707-A01,999,38,5.93,7,5,8,8,7,1082,5030,6,64
1711-A01,799,21,5.5,5,3,5,5,4,1181,4020,4,32
1713-A01,599,31,5.5,7,3,8,8,7,1082,4020,4,32
1801-A01,1099,81,5.99,8,7,9,8,8,1125,4050,6,64
1803-A01,1599,20,5.99,6,5,6,5,5,852,4050,6,128
1807-A01,1599,263,5.99,7,7,8,7,7,852,4000,6,64
1809-A01,1599,263,5.99,7,7,8,7,7,852,4000,6,64
1831-A0,599,21,5.85,7,7,6,9,3,818,2800,4,64
1832-A0,499,22,6.0,0,0,0,0,0,699,3200,3,32
1872-A0,799,3,5.85,4,4,7,7,5,883,2800,4,64
2012051,1099,424,4.0,6,6,5,6,6,3256,1930,1,4
2012052,1099,424,4.0,6,6,5,6,6,3256,1930,1,4
2012053,1099,424,4.0,6,6,5,6,6,3256,1930,1,4
2012061,1126,1,5.99,0,0,0,0,0,1064,3010,4,64
2012062,1126,1,5.99,0,0,0,0,0,1064,3010,4,64
2012121,3799,25,6.67,9,9,8,7,8,334,4780,8,128
2013012,1599,180,5.99,6,6,5,6,6,1005,3400,8,256
2013021,1599,180,5.99,6,6,5,6,6,1005,3400,8,256
2013022,2599,17,6.67,9,9,8,8,8,29,5000,8,128
2013023,2599,17,6.67,9,9,8,8,8,29,5000,8,128
2013028,599,892,4.7,6,5,4,5,5,2221,2200,1,8
2013029,599,892,4.7,6,5,4,5,5,2221,2200,1,8
2013061,0,0,6.087999999999999,0,0,0,0,0,699,4030,4,128
2013062,0,0,6.087999999999999,0,0,0,0,0,699,4030,4,128
2013063,0,0,6.087999999999999,0,0,0,0,0,699,4030,4,128
2013121,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2013122,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2014011,599,892,4.7,6,5,4,5,5,2221,2200,1,8
2014017,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2014018,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2014021,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2014022,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2014055,2599,17,6.67,9,9,8,8,8,29,5000,8,128
2014112,498,8,5.45,7,5,6,7,5,899,3000,2,16
2014215,799,93,5.15,5,6,5,7,6,1368,2860,3,64
