model,cnt
KT80N_H9,123
CENXIN S17,15
F81_X20s+,321
LDN-AL00,531983312
PDEM10,6880465
Onefive C3,15750
SM-G935S,309563
H60-L03,187044
A10S(M3H6),5741
"iPad8,11",1353
JEF-TN20,555405
NEM-UL10,1888423
SPN,45461
SM-A705FN,5850
BL12000,1010
VOG-L09,186104
koobee S503,93621
FLOW,5
T8-PLUSM,5538
E5823,430
vivo Y29L,551
20190620G,1932594
SM-N920V,3082
MP1611,985480
ASUS_Z00ADA,5613
VTR-AL00,108158600
NOAIN X19,8070
JSN-TL00,43468431
HUAWEI RIO-AL00,17897211
A7,7718
VOLTE,16501
Bravo,18
ZTE C2016,387783
20160526Q,3112
CDL-AN50,2835
T2,19640
SM-A310N0,17841
F888,1513
OXF-AN00,54497652
SAMSUNG-SM-G920A,631
U20,2154807
OUKI P2,30428
SM-A705F,217
"iPad4,5",2189
SM-G5520,1242879
A33w,5229
ASUS_I001D,15637
vivo 1718,30681
ETST-VR1.0.5,731
SQ42T,7085
L5Q,23217
GOME 2017M16A,276
SOP-N3,213
E266W,2211
Nine_Bliss_N9,2981
X9,54658
"iPad11,3",34041
conquest-S6,17218
RS801D,10319
vivo X5Max V,139
Best sonny LT680,5083
A11-F-JXDX,1328
CPH1833,1694
Redmi note 3,6
CPH1941,132396
LA1,291410
LEX651,1877729
SM-W2017,489136
R7plusf,3012
A37f,53863
koobee S11,504402
COMIO T9,44021
SM-E7009,940
NXT-AL10,101536
DOOV A6,166615
Lenovo B8080-HV,79
GN5001S,5501684
Lovme-T19,25487
CMCC Pad1,8810
970,8245
Mi A2,90097
U5483,67609
GEM-701L,4929
BDS-5G,421
DAMI 985S,9760
M5L,34924
PAR-LX1,39974
Coolpad 8297,1678
m1822,11506
boway T6,52681
HUAWEI VNS-CL00,5371
vivo 1801,932
H90,531
SM-P555C,23706
ASUS_X00TDB,36562
802LG,22
ASUS_Z00XSB,6111
OPSSON D11,212
Sun005,30847
BND-L34,50718
8848 M4,728513
PLK-CL00,1162199
1505-A01,993656
A2,4711
COL-TL00,6109
HHT7B,12251
SM-T815Y,549
9E(P60),1080
KRJ-AN00,21650
KFFOWI,317
JC-V9_Voyage_1st,10927
P11,102170
K10,423719
KT-101-B,1106
CPH1871,33592
HLTE216M,91228
Lenovo TB-8703R,1788
CMR-W19,57370
RMX1911,26596
SM-T805,985
R19,9669
BF_T12,2021
KT10,387
1841-C0,107258
LGM-X320K,7899
RAI-AN00,363
Lenovo K53a48,3631
D51732,73625
vivo X5V,7266
ZTE BA611T,1117520
SM-M115F,3217
D18R,15781
STF,6445
GN8003L,3707144
JSN-AL00,262655816
FARQ01018Z,207
CPH2201,5573
SM-A215U,4732
SM-G8850,2493119
GM1913,14950
A999,13630
msmnile for arm64,89
GLK-LX1U,1395667
JNY-LX1,246685
L50,25421
SCL-AL00,3336380
vivo X6SPlus D,17982414
　　,777
INTEX AQUA CRYSTAL+,1405
Hisense E81,113495
MAICHAI,1362
X,6280
SM-N981U,13380
moto e5 play,328
"iPhone10,5",441194
MP1701,3032895
xiaomi 8,4747
koobee S506M,630691
HUAWEI NCE-AL10,3638
EDI-AL10,27851892
vivo Y67L,124641139
186HS1050531,484
KINGSUN-F4,4133
HLGM-ABT,314931
lephone T708V,93784
Lenovo TB-8604F,446
MLLED V9,98652
Readboy_G550S,25474
M20 4G(M3K8),614
Coolpad Y803-9,90245
Tablet88T,235
G20200416,13829
S29,99918
N107_6739_66_P,2316
DOOV L520,388703
Mi MIX 2S,5435
SM-G988U,2434
S41,450
PBET00,125163397
MINI,5282
JMM-L22,13616
HTC U11,91557
Lenovo A3910e70,139957
JSN-L22,222163
M5 Note,61517972
2018 max,8647
G20,964
GIONEE S11SL,6780
NX595J,3685568
Redmi Note 5A,61214200
SM-A505FM,211
Nokia 5.1,4917
AoleDior,15549
LMCV1,40948
VOTO GT13,42785
SM-G930L,135714
NCE-AL10,23515529
T790S,5438
1501_M02,504190
V19(P40),374
Le2 X620,814
SM-G9298,89307
CLT-L09,164904
SM-J120F,2456
STONEXONE,1149
Bestsonny_LT988,13623
COR-AL10,101315761
Mate9,11897
ZYVM3,291625
CAM-CL00,412
GIONEEX50,12440
BBB100-5,26886
X505,658
X10(M1D4),805
SM-A510F,11742
VIA_A1_Plus,863
brady,8136
SUGAR F9,501301
vivo Y51n,833871
TRT-LX1,394
DM2017,315
R11S,55751
SB-APAD1024,457
ChanghongC08,65447
X4,527
"iPhone8,2",16324230
I3,409
E910S,1961
SM-T819,2687
ANE-LX1,1003639
AWM-A0,1351805
MI PAD,4693
lephone V8,25940
C685,19012
Allure M2,7882
SM-G6100,4924695
X Performance,14
K88,1085
H60-L12,46017
BEE-AL10,325
Plungon,341
moto g(8) plus,35035
U63 PLUS C,226
JER-AN20,12738642
HM 1S,1246
T5 PLUS,4341
X23 PLUS,585
LG-D857,2476
LM-Q710.FGN,22791
U808 Quad,2797
GIONEE S11,2823588
ZTE 8000,64
Unsupported MI Cancro,150
OPPO A79kt,33939358
vivo Y66i,58288214
SM-G955F,275222
Mate40,31598
"iPad6,7",22821
DOOV L925s,12552
T790Y,243
P80H(D1C2),3642
AR9,67707
RMX1931,502254
Redmi 4X,32955373
E910 PLUS,1929
ivvi V1M,129165
ocn,1552
lephone C7,2110
vivo Y66i A,94595205
MIX,3158758
yrd 6s,813
MX20,17434
NEM-TL00,2107358
BIOJUET_V9,575
C01,446
K-Touch H2,28923
X1 7.0,11330
PDAM10,183092820
SCL-TL00,4419801
L3 mini,278
LAVA_R1,21934
SHOWN P5,97
T799H,10226
koobee S600,192049
C1001,379885
GM-Q8,3751
ALE-L21,52071
DOOV L525,88060
6000VIP,4799
FS8028,185
Mate300,180120
BF_K12,142
HUIZUU Xs,202
SM-T375S,29230
Archos 55 Platinum 4G,15
XIAOMI 9,1608
Qin 2,30143
SM-N9208,102271
vivo X5S L,42832
P23(Z9)-X23,10208
SM-N915S,34747
Haipainoble S7,598
BAH2-AL00,7313
BLN-TL10,52816186
CPH1917,81710
MI 8 UD,10282461
PINZHI V2,45877
X6,132673
WP_V6,6094
KFDOWI,1120
SINTAVE S1000,293
S16Plus,29194
HM NOTE 1LTETD,6453
Lenovo 2 A8-50F,12302
ZTE V1000,893159
S8-701u,5143
YQ603,38528
ASUS_X550,8027
vivo X21i A,69653181
S01,10706
YUSUN A9,21817
Neffos X1 Max,3699
SM-T819C,15709
R7,71477
CPH1969,199046
Hisense P1,5637
KT-106,2057
ETON3.0,3655
rk3399-mid,163
VIA_S,6187
U16,2264
Angelcare-F5,520629
HILARY H2+,1704
vivo X5M,3085035
ivvi M10 Pro,3635
JAT-LX3,46958
SM-G928L,43103
SEA-AO,3477
Pro 2S,14
K-Touch X6,1229
100003561,317
704HW,1099
LT40,934
OUJIA S29 MIX,517215
T7-5G10,15159
HM-I505-TL,1218
BAH3-AL00,443604
SOYES XS11,1228
vivo 1933,4042
T106A,1257
GOME 2017M27A,2192630
Newman P308(P400),526869
TETC-F6S,3328
P9 Plus,228
x7,147
小米6,5736
vivo Y51,72609324
Ben13,289
LJ-i6,14397
X3-Ex,2791
LEX653,433
HUAWEI eH880,180143
Galaxy S7 edge,38
KE0_S10,1724
SM-J415GN,65486
Pixel 2,33264
V1200,4
20160312W,6314
Coolpad 8675,496
C700,291
ASUS_Z01FD,66740
20181225,1130409
50 Series,6730
N5207,61751
F160,256
weiimi V1,2520
KNC,2031
Hisense F31M,48548
SM-G781U1,3730
GP-50,287
MAR-LX3Bm,9829
OPPO R17 Pro,208
M1852,18501265
SUGAR Y7 Pro,612
SM-G925P,31572
UnisCom,809
Z1,451
SM-G935T,18912
SM-N7505,2932
A31c,44882
GRACE,5216
S1,19535
S8-701w,797
V1809T,25830364
EAMEY-M9.,910
"iPhone13,3",181389
OnePlus 7 Pro,1996
Y105-TL,15831
SCL-CL00,1427559
K-Touch C5,1583
OBOOK10 SE,303
MI 3C,236349
XT1635-03,890552
P9S,20
Hisense F30,384915
GN152,61299
Lovme-T6,17230
Full AOSP on Sofia,351
VKY-AL00,86960058
Coolpad Y71-711,145
LM-V510N,19162
L1018,576
vivo 1902,234579
OPPO A9X,876
Neolix-T7_YZ-BJ,1667
SM-A505N,28089
M760,2270819
Redmi S2,11124787
GM1925,5057
OPSSON M8,3934
SM-P601,81
SHARK KLE-A0,389954
ZYVM1,56473
GM1905,390
K10M5,162
SM-G550T1,2142
Q600W,1495
Lenovo TB-8705N,109711
SM-G955FD,18366
ask-al00x,9794
IWRIST i11,467
7722CT,3071
N360_1,20228
SM-G950N,229489
Philips S310X,15271
KT-960-G,570
SM-T515,4485
KSA-TL00,1567
S1 Pro,192
FS8009,149308
SM-A920N,11763
Mi A2 Lite,18944
honor apple,155
Redmi Note 7,118860985
moto g(7),39106
IPAD,189
Moto G,4499
TECNO CD7,1382
SM-G7810,146018
ivvi F2-T,138339
TEL-AN10,5414926
GN9007,105248
BF M19,36629
Lenovo A3860,262572
PIE-AL00,18
E30 pro,18
SOAP R11,2227156
TECNO CC7,7476
SM-G970U1,41428
Nokia 6,13224
K10-plus,2767
Redmi 4,13739757
BV9600Pro,20184
M-16,16258
6000LM,445
HTC One A9,148
Coolpad 8739,463728
PAR-TL20,494131
V1838T,11274297
SM-J250G,7764
Lenovo TB-8505N,4489
IX20(IX21),2221
SM-T335L,2752
SO-03H,2431
TECNO ID6,3448
SM-G930K,124454
C200,2210
XT1924-9,6703059
DELL3199,1122
SM-G955W,23430
TNY-AL00,22563187
FLA-LX3,8398
SM-T385L,1421
K920 (CN),11877
KONKA R8,50259
BLU_S1,20159
SM-J330L,7732
FS8018,942590
OPPO A79k,66713249
SM-G9730,2908053
T900,90
BDS3_plus,77636
KINGSUN-EF36,39326
AUM-L33,1286
Q988,163920
Redmi 8A,117666312
LND-TL30,13056
ELE-L09,40896
Master9,3835
K-Touch X11S,84332
GN5002,1380145
ivvi V3,432514
G123-2,816
HTV33,95
KEJIAN 160602,22711
AGS-W09,3888351
JAZZ,5792
CMOX CM-G10 plus,1920
lephone T3+,691
CT06,5277
SUGAR F20,757
AGM H2,138237
JKL A165,2031
FS8008,636
WarGod,2631
SM-A315F,1603
BLU STUDIO ONE PLUS,134
2019Pro,8390
HTC D826d,3899
RMX2111,7217647
A22,87
Letv-X720,1339
3007,788
T98,63
M8 SE,245
KYV35,2657
INE-TL00,44076942
STK-AL00,484512178
K10PLus,1284
ali6735m_35gc_a_l1,334
Infinix X650,41202
M1822,16684288
SM-G900K,3700
HUAWEI TIT-CL00,410989
HY H6,1926
CM3,14742
OPPO R9  Plusm A,214
SC-03J,5520
1107,18429
CM CM6,16884
SM-N910F,81389
SM-J5108,2163732
SS I8,4043
Best sonny LT999,43714
XM-T Pro,16968
Philips V800,20917
Moto Z3 Play,16153
SM-A6050,3560572
LM-V405,16745
JEF-AN00,112362298
BLN-AL10,137229481
A1601,923621
SM-F916N,25418
EVA-CL00,303975
HTC_VR_V1,32863
M652YN,131519
ONEPLUS A3000,3212745
F1C,779
vivo 1606,61135
BDKP Plus,291310
C106-6,44938
OWWO L901,14019
ALP-AL00,109023705
Redmi 7,76241785
"iPad6,3",30941
BAH2-W19,5646
CDY-TN00,45792282
LGUS992,18963
SM-J510H,13
GIONEE S10CL,7345054
PAR-LX9,208811
A3000,348
Skyhon X8,6652
ASUS_Z011D,5032
NOAIN D03,41262
COMIO M7000,59721
EVR-L29,300789
android,748
T1-A21w,17245
BAH3-W09,970720
DOOV V33,104290
ARE-AL00,90874867
SM-A6058,311515
TCL-550,34767
BIHEE A18,30213
HONOR H30-L02,3221
ETON4.0,4830
ZOL,1439
HQ103,57
D5288CT,46468
GLK-AL00,274359333
SM-G985F,8093
Laaboo V6,11991
H8296,337926
MAR-LX1M,155192
AQM-AL00,129742379
K4000,110
GDT-US903,188
OPPO A59m,207687284
f100,996
R2,52969
Philips_V787,60020
306,822
P027,7024
SM-T837V,1177
LG-F800S,12042
PDCT00,3759
OUKI G5,5449
S6,7258
Moto X Pro,6409
C103,28097
Lahaina for arm64,1314
LG-K430,156
YLT X9-P10,2273
KT23-37,1620
U63YR,18
LG-F800K,6161
X12Pro,24670
H531,233
BF_T20,1746
ASUS_Z01HD,701
W909,1419222
V9S,2730
SM-J3110,2674954
HTF858,185
DT120,1511
moto g(6) play,31494
MAR-LX3Am,10055
C-BO,94
Lenovo S850t,5814
vivo 1610,42981
S109,2729
SM-G5500,4701112
HUAWEI RIO-TL00,1190247
SM-A730F,89783
KT257-S,2123
