model,pv,uv
PRIMO N4,6330,1
BV6000,1732,1
F81_X20s+,62,1
XT1585,1132,4
DVC-AN20,30850644,43257
1812-A0,5734,8
DOOV A15,20950,23
P00I,8083,8
Umix6,32041,79
HDL-W09,209153,179
D11,82,1
Lenovo K30-E,56,1
STK-LX3,16895,25
G1,3967,4
SM-A705FN,1289,2
G8141,713,2
SM-A750N,2413,9
20190909,810,2
OUJIA S29 MIX,139776,48
20190620G,461671,748
vivo Y29L,182,2
Coolpad 8739,82306,58
X27S,36669,19
R11 Plus,323,2
M631,40923,33
NOAIN X19,2211,3
X107,1852,2
HT9,196,1
HUAWEI RIO-AL00,4311083,3225
E9005,10131,2
FIG-AL00,10358265,9097
BDNT System3.0,2093,3
NX907J,311776,202
JAT-LX3,15702,8
Lovme,491,2
PBBM30,226412234,223678
ivvi M10 Pro,1677,1
T7-5G10,6251,11
SM-A520L,5605,5
Waterproof,276,1
VIA_A1_Plus,163,1
Lovme-T19,3007,8
Lenovo B8080-HV,79,1
1703-M01,14725,31
NX575J,1021251,1084
VCE-TL00,1719286,2675
SM-J510K,100,1
NOH-AN00,771096,1576
A6,163,1
OKP6 Pro,4374,4
TRT-LX1,198,1
G8441,451,1
SCG06,392,1
HYF-F1,1641,3
U5583,1002,1
Brand,6307,6
SM-C710F,524,1
GEM-702L,4622,4
SM-T819,15,1
SM-G970U,3665,6
k99,5,1
XLJ9A,6626,14
FRD-DL00,615766,590
AGM X2,132998,93
ANE-LX1,277565,159
IVY-TL00,285,1
ChanghongC08,13755,13
Moto E (4),5653,1
KYD-H90S,3741,6
X10(M1D4),593,1
MP1711,63171,52
GN8003L,717496,467
vivo Y51n,171058,236
SM-A300F,774,1
HUAWEI VNS-L22,7315,5
WKG-TN00,1087979,1760
M651G,4410,2
EBG-AN00,4296492,7079
"iPhone8,2",4650238,13759
VOTO GT7,758,6
SM-J710F,15802,7
CPH1941,41499,25
H8166,5969,6
R7plusf,666,2
SAST SA5,2157,3
"iPhone12,3",194886,764
BAH3-AL00,123488,307
DOOV A6,43255,27
vivo 1933,28,1
M100,873,1
GN5001S,1197574,1063
SM-A310N0,6545,5
ZTE C2016,92695,118
H30-T10,646,3
F5,734767,554
20160526Q,507,3
X875,5356,9
Moto G (5),97,1
M683,393,1
K10 Plus,1443,2
SM-C9150,3370,1
Redmi Note 4,6560699,7898
CNIOTDC X23,1879,2
QTASUN1,1712,2
T13,5198,6
EBEN 63009,7705,9
VCE,4732,2
Coolpad Y891,11197,13
GN9006,58065,91
SM-N950U,38135,15
Lenovo K80M,5,1
A10S(M3H8),8,1
SM-N976N,15796,28
Lenovo TB-8505N,1670,4
TECNO ID6,2243,1
VT T80,81,1
V2027,35,1
koobee S503,22902,21
koobee M9 Plus,95151,84
1505-M03,15148,9
K-Touch K7,12758,71
MediaPad10,1165,5
Lenovo K53a48,3482,1
NX508J,11766,9
VOGA 55909,79168,61
BF_T19,1542,1
H60-L03,42268,44
ZTE V0920,362014,266
SGP321,8,1
BL12000,377,2
VOG-L09,44836,43
SM-G975U1,15344,21
ASUS_Z00ADA,1692,3
SM-G935S,72875,40
ZTE A2020 Pro,34455,28
GOODGRADES P26S,1503,2
AWM-A0,450424,336
LDN-AL00,128894000,63989
Lenovo TB-X804F,7394,14
NEM-UL10,461249,525
KONKA 610,201,2
JEF-TN20,143770,275
HUAWEI NXT-CL00,610867,676
"iPad8,11",171,2
SEA-LX3,4219,2
KOPO L9,14464,22
vivo 1718,11833,8
HUAGAN HT6,11882,18
H1,1694,4
SM-A307G,90,1
E5663,214,1
Lenovo A2800-d,40,1
WBO V1,474,3
20160103,208,1
vivo X20,22228595,34574
HTC One A9,148,1
SM-N920V,584,3
VTR-AL00,28197994,27864
M626HD+,13592,12
FLOW,5,1
T8-PLUSM,1022,1
GIONEE F109,98300,121
SOP-S10,4858,10
OYSIN MX7,430,2
IX20(IX21),448,1
HTC D826w,7411,5
SEA-AO,198,1
SM-T555,1915,1
BIHEE A11,8742,19
JSN-TL00,12022544,15175
HILARY H2+,665,2
COMIO T9,11024,19
GIONEE S10BL,1021501,1042
vivo X21UD A,8806878,13933
SM-W2017,117405,150
A37f,20811,22
K-Touch X6,3,1
LG-H848,56778,12
RNE-L02,523,2
V1838T,3504179,6418
sdm660 for arm64,3348,1
GIONEE F6,1674169,1851
SO-03H,207,1
SM-E7009,842,2
NXT-AL10,22595,13
VOLTE,3458,2
GM1901,2946,1
CMCC Pad1,479,1
LDN-AL10,6276560,3033
vivo X710F,721,1
S410J,588,3
JD-T,477,3
DAMI 985S,1497,4
ChanghongC02,1026,2
H802,771,1
Redmi Note 7 Pro,16629078,21759
vivo 1801,932,1
OUJIA S29 PLUS,2875,7
VCE-AL00,44862216,59049
LA-S5,7454,16
HUAWEI VNS-CL00,1488,2
D18R,3396,7
JSN-AL00,67686626,79364
SM-M115F,783,1
vivo X5V,882,2
MT6755,514,1
A7,1548,1
CPH2121,2553,1
XT1710-08,171093,176
SM-G8850,688297,752
SM-A215U,1201,1
lephone T7A,23478,33
A999,3477,2
lephone T11,13741,5
vivo V3 A,11226,8
SUGAR F9,126775,153
I9051,3513,3
R11S,8893,19
ZTE BA611T,264424,175
SM-A510F,443,2
GO C3,10472,14
vivo 1714,127,1
SPN,11587,8
PDEM10,2001527,3322
FARQ01018Z,207,1
vivo 1808,4213,11
NX511J_V3,5978,9
LT40,214,1
SOYES S10,423,1
koobee S11,126883,94
vivo X5M,727098,1001
SM-G928L,12812,12
JSN-L23,21853,12
MI CC 9,4307888,5781
DUA-LX9,304,1
MP1611,228912,230
SM-N770F,733,3
PEGM00,1953,3
V33s,14597,24
Lenovo TB-8703R,214,2
C313,18048,9
SM-N9810,17107,38
PE-UL00,37825,40
KINGSUN-F8,7155,5
15,801409,1002
"iPhone10,6",174833,783
LGM-X320K,2194,1
Apex3,1577,3
FDR-A01w,196682,239
I3,150,1
SM-T335L,289,1
